member_casual,start_station_name,rides
member,Canal St & Adams St,13797
member,Clinton St & Washington Blvd,13434
member,Clinton St & Madison St,12889
member,Kingsbury St & Kinzie St,8718
member,Columbus Dr & Randolph St,8515
member,Canal St & Madison St,7956
member,Franklin St & Monroe St,7008
member,Michigan Ave & Washington St,6684
member,Larrabee St & Kingsbury St,6466
member,Clinton St & Lake St,6437
casual,HQ QR,3556
casual,Streeter Dr & Grand Ave,2741
casual,Lake Shore Dr & Monroe St,2727
casual,Shedd Aquarium,1831
casual,Millennium Park,1403
casual,Michigan Ave & Oak St,1017
casual,Michigan Ave & Washington St,835
casual,Dusable Harbor,829
casual,Adler Planetarium,826
casual,Theater on the Lake,794
