weekday,member_casual,rides,pct
Mon,member,100092,0.931651696374552
Mon,casual,7343,0.06834830362544794
Tue,member,126135,0.9419386154880144
Tue,casual,7775,0.05806138451198566
Wed,member,121557,0.9362493645732243
Wed,casual,8277,0.06375063542677573
Thu,member,124772,0.9430633762896338
Thu,casual,7533,0.0569366237103662
Fri,member,120931,0.9340248546028902
Fri,casual,8542,0.06597514539710982
Sat,member,66154,0.8338564315875717
Sat,casual,13181,0.1661435684124283
Sun,member,60485,0.7659043711695285
Sun,casual,18487,0.23409562883047155
